title,authors,year,venue,abstract,Full abstract,citations,url,query,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
Living-off-the-land command detection using active learning,"['T Ongun', 'JW Stokes', 'JB Or', 'K Tian']",2021,"… Attacks, Intrusions and …","In recent years, enterprises have been targeted by advanced adversaries who leverage  creative ways to infiltrate their systems and move laterally to gain access to critical data. One","In recent years, enterprises have been targeted by advanced adversaries who leverage creative ways to infiltrate their systems and move laterally to gain access to critical data. One increasingly common evasive method is to hide the malicious activity behind a benign program by using tools that are already installed on user computers. These programs are usually part of the operating system distribution or another user-installed binary, therefore this type of attack is called “Living-Off-The-Land”. Detecting these attacks is challenging, as adversaries may not create malicious files on the victim computers and anti-virus scans fail to detect them.We propose the design of an Active Learning framework called LOLAL for detecting Living-Off-the-Land attacks that iteratively selects a set of uncertain and anomalous samples for labeling by a human analyst. LOLAL is specifically designed to work well when a limited number of labeled samples are available for training machine learning models to detect attacks. We investigate methods to represent command-line text using word-embedding techniques, and design ensemble boosting classifiers to distinguish malicious and benign samples based on the embedding representation. We leverage a large, anonymized dataset collected by an endpoint security product and demonstrate that our ensemble classifiers achieve an average F1 score of 96% at classifying different attack classes. We show that our active learning method consistently improves the classifier performance, as more training data is labeled, and converges in less than 30 iterations when starting with a small number of labeled instances.",40,https://dl.acm.org/doi/abs/10.1145/3471621.3471858,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Malicious iot implants: Tampering with serial communication over the internet,"['P Morgner', 'S Pfennig', 'D Salzner']",2018,"… , Intrusions, and Defenses …","supply chain, in which electronic products are manufactured and shipped in large volumes.  The global supply chain  Therefore, we assume an untrusted supply chain in our threat model","AbstractThe expansion of the Internet of Things (IoT) promotes the roll-out of low-power wide-area networks (LPWANs) around the globe. These technologies supply regions and cities with Internet access over the air, similarly to mobile telephony networks, but they are specifically designed for low-power applications and tiny computing devices. Forecasts predict that major countries will be broadly covered with LPWAN connectivity in the near future. In this paper, we investigate how the expansion of the LPWAN infrastructure facilitates new attack vectors in hardware security. In particular, we investigate the threat of malicious modifications in electronic products during the physical distribution process in the supply chain. We explore to which extent such modifications allow attackers to take control over devices after deployment by tampering with the serial communication between processors, sensors, and memory. To this end, we designed and built a malicious IoT implant, a small electronic system that can be inserted in arbitrary electronic products. In our evaluation on real-world products, we show the feasibility of leveraging malicious IoT implants for hardware-level attacks on safety- and security-critical products.",15,https://link.springer.com/chapter/10.1007/978-3-030-00470-5_25,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Marked for disruption: tracing the evolution of malware delivery operations targeted for takedown,"['CC Ife', 'Y Shen', 'SJ Murdoch', 'G Stringhini']",2021,"… , Intrusions and Defenses","As such, the same data limitations apply, such as the limited view we have on only one  stage of the malware supply chain (software download), or VirusTotal’s limited coverage in","The malware and botnet phenomenon is among the most significant threats to cybersecurity today. Consequently, law enforcement agencies, security companies, and researchers are constantly seeking to disrupt these malicious operations through so-called takedown counter-operations. Unfortunately, the success of these takedowns is mixed. Furthermore, very little is understood as to how botnets and malware delivery operations respond to takedown attempts. We present a comprehensive study of three malware delivery operations that were targeted for takedown in 2015–16 using global download metadata provided by Symantec. In summary, we found that: (1) Distributed delivery architectures were commonly used, indicating the need for better security hygiene and coordination by the (ab)used service providers. (2) A minority of malware binaries were responsible for the majority of download activity, suggesting that detecting these “super binaries” would yield the most benefit to the security community. (3) The malware operations exhibited displacing and defiant behaviours following their respective takedown attempts. We argue that these “predictable” behaviours could be factored into future takedown strategies. (4) The malware operations also exhibited previously undocumented behaviours, such as Dridex dropping competing brands of malware, or Dorkbot and Upatre heavily relying on upstream dropper malware. These “unpredictable” behaviours indicate the need for researchers to use better threat-monitoring techniques.",6,https://dl.acm.org/doi/abs/10.1145/3471621.3471844,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
NatiSand: Native code sandboxing for JavaScript runtimes,"['M Abbadini', 'D Facchinetti', 'G Oldani', 'M Rossi']",2023,"… Attacks, Intrusions and …","We consider the operating system trusted, although binary utilities may be malicious due  to supply chain attacks, or affected by vulnerabilities due to incorrect memory management,","Modern runtimes render JavaScript code in a secure and isolated environment, but when they execute binary programs and shared libraries, no isolation guarantees are provided. This is an important limitation, and it affects many popular runtimes including Node.js, Deno, and Bun [20, 61].In this paper we propose NatiSand, a component for JavaScript runtimes that leverages Landlock, eBPF, and Seccomp to control the filesystem, Inter-Process Communication (IPC), and network resources available to binary programs and shared libraries. NatiSand does not require changes to the application code and offers to the user an easy interface. To demonstrate the effectiveness and efficiency of our approach we implemented NatiSand and integrated it into Deno, a modern, security-oriented JavaScript runtime. We reproduced a number of vulnerabilities affecting third-party code, showing how they are mitigated by NatiSand. We also conducted an extensive experimental evaluation to assess the performance, proving that our approach is competitive with state of the art code sandboxing solutions. The implementation is available open source.",9,https://dl.acm.org/doi/abs/10.1145/3607199.3607233,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
The limitations of federated learning in sybil settings,"['C Fung', 'CJM Yoon', 'I Beschastnikh']",2020,"… in Attacks, Intrusions and Defenses …",Federated learning over distributed multi-party data is an emerging paradigm that iteratively  aggregates updates from a group of devices to train a globally shared model. Relying on a,"Federated learning over distributed multi-party data is an emerging paradigm that iteratively aggregates updates from a group of devices to train a globally shared model. Relying on a set of devices, however, opens up the door for sybil attacks: malicious devices may be controlled by a single adversary who directs these devices to attack the system.We consider the susceptibility of federated learning to sybil attacks and propose a taxonomy of sybil objectives and strategies in this setting. We describe a new DoS attack that we termtraining inflationand present several ways to carry out this attack. We then evaluate recent distributed ML fault tolerance proposals and show that these are insufficient to mitigate several sybil-based attacks. Finally, we introduce a defense against targeted sybil-based poisoning called FoolsGold, which identifies sybils based on the diversity of client updates. We show thatFoolsGoldexceeds state of the art approaches when countering several types of poisoning attacks. Our work is open source and is available online:https://github.com/DistributedML/FoolsGold",444,https://www.usenix.org/conference/raid2020/presentation/fung,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Transferable graph backdoor attack,"['S Yang', 'BG Doan', 'P Montague', 'O De Vel']",2022,… intrusions and defenses,Graph Neural Networks (GNNs) have achieved tremendous success in many graph mining  tasks benefitting from the message passing strategy that fuses the local structure and node,"Graph Neural Networks (GNNs) have achieved tremendous success in many graph mining tasks benefitting from the message passing strategy that fuses the local structure and node features for better graph representation learning. Despite the success of GNNs, and similar to other types of deep neural networks, GNNs are found to be vulnerable to unnoticeable perturbations on both graph structure and node features. Many adversarial attacks have been proposed to disclose the fragility of GNNs under different perturbation strategies to create adversarial examples. However, vulnerability of GNNs to successful backdoor attacks was only shown recently.In this paper, we disclose the TRAP attack, a Transferable GRAPh backdoor attack. The core attack principle is to poison the training dataset with perturbation-based triggers that can lead to an effective and transferable backdoor attack. The perturbation trigger for a graph is generated by performing the perturbation actions on the graph structure via a gradient based score matrix from a surrogate model. Compared with prior works, TRAP attack is different in several ways: i) it exploits a surrogate Graph Convolutional Network (GCN) model to generate perturbation triggers for a blackbox based backdoor attack; ii) it generates sample-specific perturbation triggers which do not have a fixed pattern; and iii) the attack transfers, for the first time in the context of GNNs, to different GNN models when trained with the forged poisoned training dataset. Through extensive evaluations on four real-world datasets, we demonstrate the effectiveness of the TRAP attack to build transferable backdoors in four different popular GNNs using four real-world datasets.",44,https://dl.acm.org/doi/abs/10.1145/3545948.3545976,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Aflguard: Byzantine-robust asynchronous federated learning,"['M Fang', 'J Liu', 'NZ Gong', 'ES Bentley']",2022,… Security Applications Conference,"Federated learning (FL) is an emerging machine learning paradigm, in which clients jointly  learn a model with the help of a cloud server. A fundamental challenge of FL is that the","Federated learning (FL) is an emerging machine learning paradigm, in which clients jointly learn a model with the help of a cloud server. A fundamental challenge of FL is that the clients are often heterogeneous, e.g., they have different computing powers, and thus the clients may send model updates to the server with substantially different delays. Asynchronous FL aims to address this challenge by enabling the server to update the model once any client’s model update reaches it without waiting for other clients’ model updates. However, like synchronous FL, asynchronous FL is also vulnerable to poisoning attacks, in which malicious clients manipulate the model via poisoning their local data and/or model updates sent to the server. Byzantine-robust FL aims to defend against poisoning attacks. In particular, Byzantine-robust FL can learn an accurate model even if some clients are malicious and have Byzantine behaviors. However, most existing studies on Byzantine-robust FL focused on synchronous FL, leaving asynchronous FL largely unexplored. In this work, we bridge this gap by proposing AFLGuard, a Byzantine-robust asynchronous FL method. We show that, both theoretically and empirically, AFLGuard is robust against various existing and adaptive poisoning attacks (both untargeted and targeted). Moreover, AFLGuard outperforms existing Byzantine-robust asynchronous FL methods.",32,https://dl.acm.org/doi/abs/10.1145/3564625.3567991,"""supply chain"" source:""Computer Security Applications Conference""",,,,,,,,,,,,,,,,
Artemis: Defanging software supply chain attacks in multi-repository update systems,"['M Moore', 'TK Kuppusamy', 'J Cappos']",2023,… Security Applications Conference,"supply chain security, as well as other work built on in this paper. Software supply chain   updating, a sub-problem of software supply chain security. Other technologies in this field solve","Modern software installation tools often use packages from more than one repository, presenting a unique set of security challenges. Such a configuration increases the risk of repository compromise and introduces attacks like dependency confusion and repository fallback. In this paper, we offer the first exploration of attacks that specifically target multiple repository update systems, and propose a unique defensive strategy we call articulated trust. Articulated trust is a principle that allows software installation tools to specify trusted developers and repositories for each package. To implement articulated trust, we built Artemis, a framework that introduces several new security techniques, such as per-package prioritization of repositories, multi-role delegations, multiple-repository consensus, and key pinning. These techniques allow for a greater diversity of trust relationships while eliminating the security risk of single points of failure.To evaluate Artemis, we examine attacks on software update systems from the Cloud Native Computing Foundation’s Catalog of Supply Chain Compromises, and find that the most secure configuration of Artemis can prevent all of them, compared to 14-59% for the best existing system. We also cite real-world deployments of Artemis that highlight its practicality. These include the JDF/Linux Foundation Uptane Standard that secures over-the-air updates for millions of automobiles, and TUF, which is used by many companies for secure software distribution.",4,https://dl.acm.org/doi/abs/10.1145/3627106.3627129,"""supply chain"" source:""Computer Security Applications Conference""",,,,,,,,,,,,,,,,
Badnl: Backdoor attacks against nlp models with semantic-preserving improvements,"['X Chen', 'A Salem', 'D Chen', 'M Backes', 'S Ma']",2021,… Security Applications …,"Deep neural networks (DNNs) have progressed rapidly during the past decade and have  been deployed in various real-world applications. Meanwhile, DNN models have been shown","Deep neural networks (DNNs) have progressed rapidly during the past decade and have been deployed in various real-world applications. Meanwhile, DNN models have been shown to be vulnerable to security and privacy attacks. One such attack that has attracted a great deal of attention recently is the backdoor attack. Specifically, the adversary poisons the target model’s training set to mislead any input with an added secret trigger to a target class.Previous backdoor attacks predominantly focus on computer vision (CV) applications, such as image classification. In this paper, we perform a systematic investigation of backdoor attack on NLP models, and propose BadNL, a general NLP backdoor attack framework including novel attack methods. Specifically, we propose three methods to construct triggers, namely BadChar, BadWord, and BadSentence, including basic and semantic-preserving variants. Our attacks achieve an almost perfect attack success rate with a negligible effect on the original model’s utility. For instance, using the BadChar, our backdoor attack achieves a 98.9% attack success rate with yielding a utility improvement of 1.5% on the SST-5 dataset when only poisoning 3% of the original set. Moreover, we conduct a user study to prove that our triggers can well preserve the semantics from humans perspective.",404,https://dl.acm.org/doi/abs/10.1145/3485832.3485837,"""supply chain"" source:""Computer Security Applications Conference""",,,,,,,,,,,,,,,,
Better together: Attaining the triad of Byzantine-robust federated learning via local update amplification,"['L Shen', 'Y Zhang', 'J Wang', 'G Bai']",2022,… Security Applications Conference,"Manipulation of local training data and local updates, ie, the Byzantine poisoning attack, is  the main threat arising from the collaborative nature of the federated learning (FL) paradigm.","Manipulation of local training data and local updates, i.e., the Byzantine poisoning attack, is the main threat arising from the collaborative nature of the federated learning (FL) paradigm. Many Byzantine-robust aggregation algorithms (AGRs) have been proposed to filter out or moderate suspicious local updates uploaded by Byzantine participants at the central aggregator. However, they largely suffer from model quality degradation due to the over-removal of local updates or/and the inefficiency caused by the expensive analysis of the high-dimensional local updates.In this work, we propose AgrAmplifier that aims to simultaneously attain the triad of robustness, fidelity and efficiency for FL. AgrAmplifier features the amplification of the “morality” of local updates to render their maliciousness and benignness clearly distinguishable. It re-organizes the local updates into patches and extracts the most activated features in the patches. This strategy can effectively enhance the robustness of the aggregator, and it also retains high fidelity as the amplified updates become more resistant to local translations. Furthermore, the significant dimension reduction in the feature space greatly benefits the efficiency of the aggregation.AgrAmplifier is compatible with any existing Byzantine-robust mechanism. In this paper, we integrate it with three mainstream ones, i.e., distance-based, prediction-based, and trust bootstrapping-based mechanisms. Our extensive evaluation against five representative poisoning attacks on five datasets across diverse domains demonstrates the consistent enhancement for all of them, with average gains at, and in terms of robustness, fidelity, and efficiency respectively. We release the source code of AgrAmplifier and our artifacts to facilitate future research in this area: https://github.com/UQ-Trust-Lab/AgrAmplifier.",6,https://dl.acm.org/doi/abs/10.1145/3564625.3564658,"""supply chain"" source:""Computer Security Applications Conference""",,,,,,,,,,,,,,,,
Computer-related risk futures,['PG Neumann'],2009,… Computer Security Applications Conference,"Approaches to election integrity are needed that span the entire process from beginning to  end, including the entire supply chain. (For example, see [7], which represents requirements","This paper reflects on many risks in the development and use of computer-related systems. It considers past and future alternatives, suggests some remedial approaches, and offers a few broad conclusions. Various long-touted common-sense approaches that are holistic and proactive are more urgently needed now than ever before.",1,https://ieeexplore.ieee.org/abstract/document/5380529/,"""supply chain"" source:""Computer Security Applications Conference""",,,,,,,,,,,,,,,,
